snr_db,mse,psnr_db,ssim,lpips,sample_count
-10,0.01179085171315819,19.522768662332915,0.4430162133457322,,
-5,0.006872510974062607,21.88583429728185,0.5758372946562159,,
0,0.005125879368279129,23.19238460955107,0.6440828502255215,,
5,0.004533760739529195,23.768771547002775,0.6745874878983465,,
10,0.004360196689958684,23.95107469185561,0.6856200022918019,,
