experiment,latent_channels,feature_dimension_ratio,parameter_count,checkpoint_bytes,training_seconds,cpu_inference_ms
baseline,16,0.3333333333333333,72243,294463,63.22802000003867,1.6042880015447736
latent_4,4,0.08333333333333333,58407,239167,61.67893200018443,2.3611599998548627
latent_8,8,0.16666666666666666,63019,257599,56.88808649987914,1.6480199992656708
latent_32,32,0.6666666666666666,90691,368319,61.85739969997667,1.607714002020657
fixed_snr_5,16,0.3333333333333333,72243,294463,63.41629799990915,1.7444799980148673
