训练策略,snr_db,mse,psnr_db,ssim,lpips,sample_count
随机SNR,-10.0,0.012881325899312894,19.08241842053447,0.43066127367803736,0.5640938113133113,30
随机SNR,-5.0,0.007778427858526508,21.300405277191903,0.5398675432949577,0.5109583149353664,30
随机SNR,0.0,0.006105644752581915,22.459474748666775,0.6067789511159422,0.46963686247666675,30
随机SNR,5.0,0.005526436314297219,22.955496323092742,0.6382362352424747,0.4605456372102102,30
随机SNR,10.0,0.0053275426539282,23.15038443848764,0.6506965359874175,0.4548233022292455,30
固定5dB,-10.0,0.020479278111209472,17.021038341500102,0.37798394991564327,0.5915128072102864,30
固定5dB,-5.0,0.00901653547771275,20.63901228228514,0.533832086046937,0.5221210598945618,30
固定5dB,0.0,0.005153666444433232,23.146402496140578,0.6566032585256729,0.4246585408846537,30
固定5dB,5.0,0.003939791629090905,24.406706390902023,0.7213142895536454,0.36959315886100136,30
固定5dB,10.0,0.0035513422684744,24.91097678998288,0.7503274959737044,0.34778891851504645,30
